name,type,n_anthropic/claude-sonnet-4.5,n_deepseek/deepseek-v3.1-terminus,n_google/gemini-2.5-flash,n_meta-llama/llama-4-maverick,n_openai/gpt-5-mini,pooled_count,llm_freq,human_freq,lift,lift_ci_low,lift_ci_high,n_models,unstable
Sarah,first,27,3,15,0,2,47,0.04700,3.368e-03,14.0,10.5,18.4,4,0
Kade,first,1,0,0,0,0,1,0.00100,7.240e-05,13.8,2.4,77.9,1,1
Vance,first,0,1,0,0,0,1,0.00100,7.248e-05,13.8,2.4,77.9,1,1
Winston,surname,0,0,0,0,1,1,0.00100,7.342e-05,13.6,2.4,76.9,1,1
Emilie,first,0,0,0,0,1,1,0.00100,7.382e-05,13.5,2.4,76.4,1,1
Hassan,surname,1,0,0,0,0,1,0.00100,7.387e-05,13.5,2.4,76.4,1,1
Davison,surname,0,1,0,0,0,1,0.00100,7.548e-05,13.2,2.3,74.8,1,1
Chloe,first,0,6,5,0,0,11,0.01100,8.406e-04,13.1,7.3,23.3,2,0
Dubois,surname,0,0,1,0,0,1,0.00100,7.917e-05,12.6,2.2,71.3,1,1
Driscoll,surname,0,1,0,0,0,1,0.00100,7.924e-05,12.6,2.2,71.2,1,1
Holbrook,surname,0,0,0,0,1,1,0.00100,8.079e-05,12.4,2.2,69.8,1,1
Marianne,first,2,0,0,0,0,2,0.00200,1.625e-04,12.3,3.4,44.7,1,1
Francisco,surname,0,0,1,0,0,1,0.00100,8.164e-05,12.2,2.2,69.1,1,1
Malcolm,first,0,0,0,1,1,2,0.00200,1.635e-04,12.2,3.4,44.4,2,1
Griffin,first,0,0,0,1,1,2,0.00200,1.642e-04,12.2,3.3,44.2,2,1
Colette,first,0,0,0,1,0,1,0.00100,8.215e-05,12.2,2.1,68.7,1,1
Swift,surname,0,0,0,0,1,1,0.00100,8.216e-05,12.2,2.1,68.7,1,1
Max,first,0,0,0,4,1,5,0.00500,4.159e-04,12.0,5.1,28.0,2,1
Aria,first,1,0,0,1,1,3,0.00300,2.501e-04,12.0,4.1,35.1,3,1
Raven,first,0,0,0,1,1,2,0.00200,1.687e-04,11.9,3.3,43.1,2,1
Emma,first,1,0,1,1,19,22,0.02200,1.873e-03,11.7,7.8,17.7,4,0
Jack,first,0,0,0,8,8,16,0.01600,1.387e-03,11.5,7.1,18.6,2,0
Ruby,first,0,0,0,3,2,5,0.00500,4.363e-04,11.5,4.9,26.7,2,1
Sterling,surname,0,1,0,0,0,1,0.00100,8.774e-05,11.4,2.0,64.3,1,1
Eden,first,0,0,0,2,0,2,0.00200,1.759e-04,11.4,3.1,41.3,1,1
Fraser,surname,0,0,0,1,0,1,0.00100,8.796e-05,11.4,2.0,64.1,1,1
Eva,first,0,3,1,0,1,5,0.00500,4.410e-04,11.3,4.8,26.4,3,1
Julian,first,0,2,0,4,3,9,0.00900,7.956e-04,11.3,6.0,21.4,3,1
Aisha,first,0,0,1,0,0,1,0.00100,8.854e-05,11.3,2.0,63.7,1,1
Ida,first,0,1,0,0,0,1,0.00100,9.054e-05,11.0,1.9,62.3,1,1
Taylor,surname,0,0,0,13,15,28,0.02800,2.545e-03,11.0,7.6,15.8,2,0
Bertha,first,0,0,0,1,0,1,0.00100,9.223e-05,10.8,1.9,61.2,1,1
Sinclair,surname,0,0,0,0,1,1,0.00100,9.231e-05,10.8,1.9,61.1,1,1
McKenna,surname,0,0,0,0,1,1,0.00100,9.248e-05,10.8,1.9,61.0,1,1
Lily,first,0,1,2,0,3,6,0.00600,5.611e-04,10.7,4.9,23.2,3,1
Sharpe,surname,0,1,0,0,0,1,0.00100,9.785e-05,10.2,1.8,57.7,1,1
Holloway,surname,2,0,0,0,0,2,0.00200,1.967e-04,10.2,2.8,36.9,1,1
Christopher,surname,0,1,0,0,0,1,0.00100,9.849e-05,10.2,1.8,57.3,1,1
Connor,surname,0,0,0,1,0,1,0.00100,9.943e-05,10.1,1.8,56.7,1,1
Antoine,first,1,0,0,0,0,1,0.00100,9.979e-05,10.0,1.8,56.5,1,1
Ada,first,0,0,0,0,1,1,0.00100,1.009e-04,9.9,1.7,55.9,1,1
Margie,first,0,0,0,0,1,1,0.00100,1.018e-04,9.8,1.7,55.4,1,1
Ellis,first,1,0,0,0,0,1,0.00100,1.020e-04,9.8,1.7,55.3,1,1
Wilder,surname,0,0,0,0,1,1,0.00100,1.051e-04,9.5,1.7,53.7,1,1
Lee,surname,0,0,0,18,4,22,0.02200,2.348e-03,9.4,6.2,14.1,2,0
Alex,first,0,0,0,0,9,9,0.00900,9.657e-04,9.3,4.9,17.6,1,1
Marino,surname,0,0,0,0,1,1,0.00100,1.074e-04,9.3,1.6,52.6,1,1
Iris,first,1,0,0,0,1,2,0.00200,2.155e-04,9.3,2.5,33.7,2,1
Jake,first,0,0,0,1,3,4,0.00400,4.353e-04,9.2,3.6,23.5,2,1
Reed,first,0,1,0,0,0,1,0.00100,1.093e-04,9.1,1.6,51.6,1,1
Cheng,surname,1,0,0,0,0,1,0.00100,1.118e-04,8.9,1.6,50.5,1,1
Olivia,first,0,0,1,11,4,16,0.01600,1.793e-03,8.9,5.5,14.4,3,0
Bill,first,2,0,0,0,0,2,0.00200,2.253e-04,8.9,2.4,32.2,1,1
Harrington,surname,0,0,0,0,2,2,0.00200,2.269e-04,8.8,2.4,32.0,1,1
Key,surname,1,0,0,0,0,1,0.00100,1.135e-04,8.8,1.6,49.7,1,1
Camille,first,0,0,0,2,0,2,0.00200,2.286e-04,8.7,2.4,31.8,1,1
Ruth,first,2,0,0,2,1,5,0.00500,5.837e-04,8.6,3.7,20.0,3,1
Margaret,first,10,1,1,0,0,12,0.01200,1.430e-03,8.4,4.8,14.6,3,0
Vasquez,surname,3,0,0,2,1,6,0.00600,7.209e-04,8.3,3.8,18.1,3,1
Jamie,first,0,0,1,3,7,11,0.01100,1.343e-03,8.2,4.6,14.6,3,0
OConnell,surname,0,1,0,0,0,1,0.00100,1.226e-04,8.2,1.4,46.0,1,1
Valeria,first,0,2,0,0,0,2,0.00200,2.474e-04,8.1,2.2,29.4,1,1
Woodward,surname,0,0,0,0,1,1,0.00100,1.246e-04,8.0,1.4,45.3,1,1
Miriam,first,2,0,0,0,0,2,0.00200,2.513e-04,8.0,2.2,28.9,1,1
Marisol,first,1,0,0,0,0,1,0.00100,1.288e-04,7.8,1.4,43.8,1,1
